"Column Name","Label"
"GEO_ID","Geography"
"NAME","Geographic Area Name"
"S2405_C01_001E","Estimate!!Total!!Civilian employed population 16 years and over"
"S2405_C01_001M","Margin of Error!!Total!!Civilian employed population 16 years and over"
"S2405_C01_002E","Estimate!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C01_002M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C01_003E","Estimate!!Total!!Civilian employed population 16 years and over!!Construction"
"S2405_C01_003M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Construction"
"S2405_C01_004E","Estimate!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C01_004M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C01_005E","Estimate!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C01_005M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C01_006E","Estimate!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C01_006M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C01_007E","Estimate!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C01_007M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C01_008E","Estimate!!Total!!Civilian employed population 16 years and over!!Information"
"S2405_C01_008M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Information"
"S2405_C01_009E","Estimate!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C01_009M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C01_010E","Estimate!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C01_010M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C01_011E","Estimate!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C01_011M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C01_012E","Estimate!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C01_012M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C01_013E","Estimate!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C01_013M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C01_014E","Estimate!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2405_C01_014M","Margin of Error!!Total!!Civilian employed population 16 years and over!!Public administration"
"S2405_C01_015E","Estimate!!Total!!PERCENT ALLOCATED!!Industry"
"S2405_C01_015M","Margin of Error!!Total!!PERCENT ALLOCATED!!Industry"
"S2405_C02_001E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over"
"S2405_C02_001M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over"
"S2405_C02_002E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C02_002M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C02_003E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C02_003M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C02_004E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C02_004M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C02_005E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C02_005M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C02_006E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C02_006M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C02_007E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C02_007M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C02_008E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C02_008M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C02_009E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C02_009M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C02_010E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C02_010M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C02_011E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C02_011M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C02_012E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C02_012M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C02_013E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C02_013M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C02_014E","Estimate!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C02_014M","Margin of Error!!Management, business, science, and arts occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C02_015E","Estimate!!Management, business, science, and arts occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C02_015M","Margin of Error!!Management, business, science, and arts occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C03_001E","Estimate!!Service occupations!!Civilian employed population 16 years and over"
"S2405_C03_001M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over"
"S2405_C03_002E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C03_002M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C03_003E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C03_003M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C03_004E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C03_004M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C03_005E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C03_005M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C03_006E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C03_006M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C03_007E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C03_007M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C03_008E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C03_008M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C03_009E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C03_009M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C03_010E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C03_010M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C03_011E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C03_011M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C03_012E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C03_012M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C03_013E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C03_013M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C03_014E","Estimate!!Service occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C03_014M","Margin of Error!!Service occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C03_015E","Estimate!!Service occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C03_015M","Margin of Error!!Service occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C04_001E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over"
"S2405_C04_001M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over"
"S2405_C04_002E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C04_002M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C04_003E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C04_003M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C04_004E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C04_004M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C04_005E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C04_005M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C04_006E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C04_006M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C04_007E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C04_007M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C04_008E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C04_008M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C04_009E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C04_009M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C04_010E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C04_010M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C04_011E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C04_011M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C04_012E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C04_012M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C04_013E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C04_013M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C04_014E","Estimate!!Sales and office occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C04_014M","Margin of Error!!Sales and office occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C04_015E","Estimate!!Sales and office occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C04_015M","Margin of Error!!Sales and office occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C05_001E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over"
"S2405_C05_001M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over"
"S2405_C05_002E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C05_002M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C05_003E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C05_003M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C05_004E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C05_004M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C05_005E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C05_005M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C05_006E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C05_006M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C05_007E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C05_007M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C05_008E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C05_008M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C05_009E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C05_009M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C05_010E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C05_010M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C05_011E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C05_011M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C05_012E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C05_012M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C05_013E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C05_013M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C05_014E","Estimate!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C05_014M","Margin of Error!!Natural resources, construction, and maintenance occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C05_015E","Estimate!!Natural resources, construction, and maintenance occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C05_015M","Margin of Error!!Natural resources, construction, and maintenance occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C06_001E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over"
"S2405_C06_001M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over"
"S2405_C06_002E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C06_002M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Agriculture, forestry, fishing and hunting, and mining"
"S2405_C06_003E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C06_003M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Construction"
"S2405_C06_004E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C06_004M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Manufacturing"
"S2405_C06_005E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C06_005M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Wholesale trade"
"S2405_C06_006E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C06_006M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Retail trade"
"S2405_C06_007E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C06_007M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Transportation and warehousing, and utilities"
"S2405_C06_008E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C06_008M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Information"
"S2405_C06_009E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C06_009M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Finance and insurance, and real estate and rental and leasing"
"S2405_C06_010E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C06_010M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Professional, scientific, and management, and administrative and waste management services"
"S2405_C06_011E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C06_011M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Educational services, and health care and social assistance"
"S2405_C06_012E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C06_012M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Arts, entertainment, and recreation, and accommodation and food services"
"S2405_C06_013E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C06_013M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Other services, except public administration"
"S2405_C06_014E","Estimate!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C06_014M","Margin of Error!!Production, transportation, and material moving occupations!!Civilian employed population 16 years and over!!Public administration"
"S2405_C06_015E","Estimate!!Production, transportation, and material moving occupations!!PERCENT ALLOCATED!!Industry"
"S2405_C06_015M","Margin of Error!!Production, transportation, and material moving occupations!!PERCENT ALLOCATED!!Industry"
